track,artist
"Pyar Diwana Hota Hai (From ""Kati Patang"")",Kishore Kumar
"Pyar Hamen Kis Mod Pe - From ""Satte Pe Satta""","Kishore Kumar, R. D. Burman, Bhupinder Singh, Sapan Chakraborty, Gulshan Bawra"
"Pyar Hua Iqrar Hua (From ""Shree 420"")","Manna Dey, Lata Mangeshkar"
"Yeh Vaada Raha - From ""Yeh Vaada Raha""","Kishore Kumar, Asha Bhosle, R. D. Burman"
"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")","Asha Bhosle, Mohammed Rafi"
"O Mere Dil Ke Chain (From ""Mere Jeevan Saathi"")",Kishore Kumar
Neele Neele Ambar Par - Male Version,"Kalyanji-Anandji, Kishore Kumar"
"Haal Kaisa Hai Janab Ka (From ""Chalti Ka Naam Gaadi"")","Asha Bhosle, Kishore Kumar"
Haal Kaisa Hai Janab Ka (LoFi Vibe),"Asha Bhosle, Kishore Kumar, Sachin Gupta"
Bahon Mein Chale Aao,Lata Mangeshkar
Main Jat Yamla Pagla Diwana,Mohammed Rafi
Bachna Ae Hasinon Lo Main Aa Gaya,Kishore Kumar
Yaad Aa Raha Hai,Bappi Lahiri
"Dilbar Mere - From ""Satte Pe Satta""","Kishore Kumar, Anette, R. D. Burman"
"Dard-E-Dil Dard-E-Jigar (From ""Karz"")",Mohammed Rafi
"Kehdoon Tumhen - From ""Deewaar""","Kishore Kumar, Asha Bhosle, R. D. Burman"
Aaja Aaja Main Hoon Pyar Tera,"Asha Bhosle, Mohammed Rafi"
"Eena Meena Deeka (From ""Aasha) - Male Vocals",Kishore Kumar
"Badan Pe Sitare Lapete Huye (From ""Prince"")",Mohammed Rafi
Roop Tera Mastana,Kishore Kumar
"Taarif Karoon Kya Uski (From ""Brahmachari"")",Mohammed Rafi
"Ek Ladki Bheegi Bhagi Si (From ""Chalti Ka Naam Gaadi"")",Kishore Kumar
"Musafir Hoon Yaron (From ""Parichay"")",Kishore Kumar
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar, R. D. Burman"
Goom Hai Kisi Ke Pyar Mein,"Kishore Kumar, Lata Mangeshkar, R. D. Burman"
Mere Samnewali Khidki Mein,Kishore Kumar
Kehna Hai Kehna Hai,Kishore Kumar
Ek Chatur Naar Karke Sringar,"Kishore Kumar, Manna Dey, Mehmood"
"Aap Ki Ankhon Mein Kuch (From ""Ghar"")","Kishore Kumar, Lata Mangeshkar"
Kuchh To Log Kahenge,Kishore Kumar
Chingari Koi Bhadke,Kishore Kumar
